Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
dammo44MagnumBulletBall,items,Item,,,[DECEA3]Disassembled:[ffffff] .44 Magnum,,,,,,,,,,,,,,
dammo762mmBulletBall,items,Item,,,[DECEA3]Disassembled:[ffffff] 7.62mm,,,,,,,,,,,,,,
dammo9mmBulletBall,items,Item,,,[DECEA3]Disassembled:[ffffff] 9mm,,,,,,,,,,,,,,
dammo44MagnumBulletAP,items,Item,,,[DECEA3]Disassembled:[ffffff] AP .44 Magnum,,,,,,,,,,,,,,
dammo762mmBulletAP,items,Item,,,[DECEA3]Disassembled:[ffffff] AP 7.62mm,,,,,,,,,,,,,,
dammo9mmBulletAP,items,Item,,,[DECEA3]Disassembled:[ffffff] AP 9mm,,,,,,,,,,,,,,
dammoJunkTurretAP,items,Item,,,[DECEA3]Disassembled:[ffffff] AP Robotic Turret,,,,,,,,,,,,,,
dammoBlunderbuss,items,Item,,,[DECEA3]Disassembled:[ffffff] Blunderbuss,,,,,,,,,,,,,,
dthrownGrenadeContact,items,Item,,,[DECEA3]Disassembled:[ffffff] Contact Grenade,,,,,,,,,,,,,,
dammoArrowExploding,items,Item,,,[DECEA3]Disassembled:[ffffff] Exploding Arrow,,,,,,,,,,,,,,
dammoCrossbowBoltExploding,items,Item,,,[DECEA3]Disassembled:[ffffff] Exploding Crossbow Bolts,,,,,,,,,,,,,,
dorganicExploding,items,Item,,,[DECEA3]Disassembled:[ffffff] Exploding Guts,,,,,,,,,,,,,,
dammoArrowFlaming,items,Item,,,[DECEA3]Disassembled:[ffffff] Flaming Arrow,,,,,,,,,,,,,,
dammoCrossbowBoltFlaming,items,Item,,,[DECEA3]Disassembled:[ffffff] Flaming Crossbow Bolt,,,,,,,,,,,,,,
dthrownGrenade,items,Item,,,[DECEA3]Disassembled:[ffffff] Grenade,,,,,,,,,,,,,,
dammo44MagnumBulletHP,items,Item,,,[DECEA3]Disassembled:[ffffff] HP .44 Magnum,,,,,,,,,,,,,,
dammo762mmBulletHP,items,Item,,,[DECEA3]Disassembled:[ffffff] HP 7.62mm,,,,,,,,,,,,,,
dammo9mmBulletHP,items,Item,,,[DECEA3]Disassembled:[ffffff] HP 9mm,,,,,,,,,,,,,,
dammoArrowIron,items,Item,,,[DECEA3]Disassembled:[ffffff] Iron Arrow,,,,,,,,,,,,,,
dammoCrossbowBoltIron,items,Item,,,[DECEA3]Disassembled:[ffffff] Iron Crossbow Bolt,,,,,,,,,,,,,,
dammoDartIron,items,Item,,,[DECEA3]Disassembled:[ffffff] Iron Dart,,,,,,,,,,,,,,
dthrownAmmoMolotovCocktail,items,Item,,,[DECEA3]Disassembled:[ffffff] Molotov Cocktail,,,,,,,,,,,,,,
dthrownAmmoPipeBomb,items,Item,,,[DECEA3]Disassembled:[ffffff] Pipe Bomb,,,,,,,,,,,,,,
dammoJunkTurretRegular,items,Item,,,[DECEA3]Disassembled:[ffffff] Robotic Turret,,,,,,,,,,,,,,
dammoJunkTurretShell,items,Item,,,[DECEA3]Disassembled:[ffffff] Robotic Turret Shells,,,,,,,,,,,,,,
dammoRocketFrag,items,Item,,,[DECEA3]Disassembled:[ffffff] Rocket Frag,,,,,,,,,,,,,,
dammoRocketHE,items,Item,,,[DECEA3]Disassembled:[ffffff] Rocket HE,,,,,,,,,,,,,,
dammoShotgunSlug,items,Item,,,[DECEA3]Disassembled:[ffffff] Shotgun AP Slug,,,,,,,,,,,,,,
dammoShotgunBreachingSlug,items,Item,,,[DECEA3]Disassembled:[ffffff] Shotgun Breaching Slug,,,,,,,,,,,,,,
dammoShotgunShell,items,Item,,,[DECEA3]Disassembled:[ffffff] Shotgun Shell,,,,,,,,,,,,,,
dammoArrowSteelAP,items,Item,,,[DECEA3]Disassembled:[ffffff] Steel Arrow,,,,,,,,,,,,,,
dammoCrossbowBoltSteelAP,items,Item,,,[DECEA3]Disassembled:[ffffff] Steel Crossbow Bolt,,,,,,,,,,,,,,
dthrownDynamite,items,Item,,,[DECEA3]Disassembled:[ffffff] Stick of Dynamite,,,,,,,,,,,,,,
dammoArrowStone,items,Item,,,[DECEA3]Disassembled:[ffffff] Stone Arrow,,,,,,,,,,,,,,
dammoCrossbowBoltStone,items,Item,,,[DECEA3]Disassembled:[ffffff] Stone Crossbow Bolt,,,,,,,,,,,,,,
dthrownTimedCharge,items,Item,,,[DECEA3]Disassembled:[ffffff] Timed Charge,,,,,,,,,,,,,,
drinkJarBeer,items,Food,,,[DECEA3]Drink:[ffffff] Beer,,,,,,,,,,,,,,
drinkJarBoiledWater,items,Food,,,[DECEA3]Drink:[ffffff] Boiled Water,,,,,,,,,,,,,,
drinkJarCoffee,items,Food,,,[DECEA3]Drink:[ffffff] Coffee,,,,,,,,,,,,,,
drinkJarBlackStrapCoffee,items,Food,,,[DECEA3]Drink:[ffffff] Coffee: Blackstrap,,,,,,,,,,,,,,
drinkJarEmpty,items,Food,,,[DECEA3]Drink:[ffffff] Empty Water Jar,,,,,,,,,,,,,,
drinkJarGoldenRodTea,items,Food,,,[DECEA3]Drink:[ffffff] Goldenrod Tea,,,,,,,,,,,,,,
drinkJarGrandpasAwesomeSauce,items,Food,,,[DECEA3]Drink:[ffffff] Grandpa's Awesome Sauce,,,,,,,,,,,,,,
drinkJarGrandpasForgettingElixir,items,Food,,,[DECEA3]Drink:[ffffff] Grandpa's Fergit'n Elixir,,,,,,,,,,,,,,
drinkJarGrandpasLearningElixir,items,Food,,,[DECEA3]Drink:[ffffff] Grandpa's Learnin' Elixir,,,,,,,,,,,,,,
drinkJarGrandpasMoonshine,items,Food,,,[DECEA3]Drink:[ffffff] Grandpa's Moonshine,,,,,,,,,,,,,,
drinkCanMegaCrush,items,Food,,,[DECEA3]Drink:[ffffff] Mega Crush,,,,,,,,,,,,,,
drinkJarRiverWater,items,Food,,,[DECEA3]Drink:[ffffff] Murky Water,,,,,,,,,,,,,,
drinkJarPureMineralWater,items,Food,,,[DECEA3]Drink:[ffffff] Pure Mineral Water,,,,,,,,,,,,,,
drinkJarRedTea,items,Food,,,[DECEA3]Drink:[ffffff] Red Tea,,,,,,,,,,,,,,
drinkJarYuccaJuice,items,Food,,,[DECEA3]Drink:[ffffff] Yucca Juice,,,,,,,,,,,,,,
drinkYuccaJuiceSmoothie,items,Food,,,[DECEA3]Drink:[ffffff] Yucca Juice Smoothie,,,,,,,,,,,,,,
foodCanCatfood,items,Food,,,[DECEA3]Food Canned:[ffffff] Cat Food,,,,,,,,,,,,,,
foodCanChicken,items,Food,,,[DECEA3]Food Canned:[ffffff] Chicken Ration,,,,,,,,,,,,,,
foodCanSoup,items,Food,,,[DECEA3]Food Canned:[ffffff] Chicken Soup,,,,,,,,,,,,,,
foodCanChili,items,Food,,,[DECEA3]Food Canned:[ffffff] Chili,,,,,,,,,,,,,,
foodCanDogfood,items,Food,,,[DECEA3]Food Canned:[ffffff] Dog Food,,,,,,,,,,,,,,
foodCanLamb,items,Food,,,[DECEA3]Food Canned:[ffffff] Lamb Rations,,,,,,,,,,,,,,
foodCanBeef,items,Food,,,[DECEA3]Food Canned:[ffffff] Large Beef Ration,,,,,,,,,,,,,,
foodCanMiso,items,Food,,,[DECEA3]Food Canned:[ffffff] Miso,,,,,,,,,,,,,,
foodCanPasta,items,Food,,,[DECEA3]Food Canned:[ffffff] Pasta,,,,,,,,,,,,,,
foodCanPears,items,Food,,,[DECEA3]Food Canned:[ffffff] Pears,,,,,,,,,,,,,,
foodCanPeas,items,Food,,,[DECEA3]Food Canned:[ffffff] Peas,,,,,,,,,,,,,,
foodCanSalmon,items,Food,,,[DECEA3]Food Canned:[ffffff] Salmon,,,,,,,,,,,,,,
foodCanSham,items,Food,,,[DECEA3]Food Canned:[ffffff] Sham,,,,,,,,,,,,,,
foodCanStock,items,Food,,,[DECEA3]Food Canned:[ffffff] Stock,,,,,,,,,,,,,,
foodCanTuna,items,Food,,,[DECEA3]Food Canned:[ffffff] Tuna,,,,,,,,,,,,,,
foodBaconAndEggs,items,Food,,,[DECEA3]Food:[ffffff] Bacon and Eggs,,,,,,,,,,,,,,
foodBakedPotato,items,Food,,,[DECEA3]Food:[ffffff] Baked Potato,,,,,,,,,,,,,,
foodBlueberryPie,items,Food,,,[DECEA3]Food:[ffffff] Blueberry Pie,,,,,,,,,,,,,,
foodEggBoiled,items,Food,,,[DECEA3]Food:[ffffff] Boiled Egg,,,,,,,,,,,,,,
foodBoiledMeat,items,Food,,,[DECEA3]Food:[ffffff] Boiled Meat,,,,,,,,,,,,,,
foodCharredMeat,items,Food,,,[DECEA3]Food:[ffffff] Charred Meat,,,,,,,,,,,,,,
foodChiliDog,items,Food,,,[DECEA3]Food:[ffffff] Chili Dog,,,,,,,,,,,,,,
foodCornBread,items,Food,,,[DECEA3]Food:[ffffff] Corn Bread,,,,,,,,,,,,,,
foodCornOnTheCob,items,Food,,,[DECEA3]Food:[ffffff] Corn on the Cob,,,,,,,,,,,,,,
foodCornMeal,items,Food,,,[DECEA3]Food:[ffffff] Cornmeal,,,,,,,,,,,,,,
foodEgg,items,Food,,,[DECEA3]Food:[ffffff] Egg,,,,,,,,,,,,,,
foodFishTacos,items,Food,,,[DECEA3]Food:[ffffff] Fish Tacos,,,,,,,,,,,,,,
foodGrilledMeat,items,Food,,,[DECEA3]Food:[ffffff] Grilled Meat,,,,,,,,,,,,,,
foodGumboStew,items,Food,,,[DECEA3]Food:[ffffff] Gumbo Stew,,,,,,,,,,,,,,
foodHoboStew,items,Food,,,[DECEA3]Food:[ffffff] Hobo Stew,,,,,,,,,,,,,,
foodMeatStew,items,Food,,,[DECEA3]Food:[ffffff] Meat Stew,,,,,,,,,,,,,,
foodMoldyBread,items,Food,,,[DECEA3]Food:[ffffff] Moldy Bread,,,,,,,,,,,,,,
foodShamSandwich,items,Food,,,[DECEA3]Food:[ffffff] Old Sham Sandwich,,,,,,,,,,,,,,
foodPumpkinBread,items,Food,,,[DECEA3]Food:[ffffff] Pumpkin Bread,,,,,,,,,,,,,,
foodPumpkinCheesecake,items,Food,,,[DECEA3]Food:[ffffff] Pumpkin Cheesecake,,,,,,,,,,,,,,
foodPumpkinPie,items,Food,,,[DECEA3]Food:[ffffff] Pumpkin Pie,,,,,,,,,,,,,,
foodRawMeat,items,Food,,,[DECEA3]Food:[ffffff] Raw Meat,,,,,,,,,,,,,,
foodRottingFlesh,items,Food,,,[DECEA3]Food:[ffffff] Rotting Flesh,,,,,,,,,,,,,,
foodShamChowder,items,Food,,,[DECEA3]Food:[ffffff] Sham Chowder,,,,,,,,,,,,,,
foodShepardsPie,items,Food,,,[DECEA3]Food:[ffffff] Shepards Pie,,,,,,,,,,,,,,
foodSpaghetti,items,Food,,,[DECEA3]Food:[ffffff] Spaghetti,,,,,,,,,,,,,,
foodSteakAndPotato,items,Food,,,[DECEA3]Food:[ffffff] Steak and Potato Meal,,,,,,,,,,,,,,
foodTunaFishGravyToast,items,Food,,,[DECEA3]Food:[ffffff] Tuna Fish Gravy Toast,,,,,,,,,,,,,,
foodVegetableStew,items,Food,,,[DECEA3]Food:[ffffff] Vegetable Stew,,,,,,,,,,,,,,
medicalAloeCream,items,Medical,,,[DECEA3]Medical:[ffffff] Aloe Cream,,,,,,,,,,,,,,
drugAntibiotics,items,Medical,,,[DECEA3]Medical:[ffffff] Antibiotics,,,,,,,,,,,,,,
drugAtomJunkies,items,Medical,,,[DECEA3]Kandy:[ffffff] Atom Junkies,,,,,,,,,,,,,,
medicalBandage,items,Medical,,,[DECEA3]Medical:[ffffff] Bandage,,,,,,,,,,,,,,
medicalBloodBag,items,Medical,,,[DECEA3]Medical:[ffffff] Blood Bag,,,,,,,,,,,,,,
drugBluePillAdmin,items,Medical,,,[DECEA3]Medical:[ffffff] Blue Pill,,,,,,,,,,,,,,
drugCovertCats,items,Medical,,,[DECEA3]Kandy:[ffffff] Covert Cats,,,,,,,,,,,,,,
drugEyeKandy,items,Medical,,,[DECEA3]Kandy:[ffffff] Eye Kandy,,,,,,,,,,,,,,
medicalFirstAidBandage,items,Medical,,,[DECEA3]Medical:[ffffff] First Aid Bandage,,,,,,,,,,,,,,
medicalFirstAidKit,items,Medical,,,[DECEA3]Medical:[ffffff] First Aid Kit,,,,,,,,,,,,,,
drugFortBites,items,Medical,,,[DECEA3]Medical:[ffffff] Fort Bites,,,,,,,,,,,,,,
drinkJarGrainAlcohol,items,Food,,,[DECEA3]Medical:[ffffff] Grain Alcohol,,,,,,,,,,,,,,
drugHackers,items,Medical,,,[DECEA3]Kandy:[ffffff] Hackers,,,,,,,,,,,,,,
drugHealthBar,items,Medical,,,[DECEA3]Kandy:[ffffff] Health Bar,,,,,,,,,,,,,,
drugHerbalAntibiotics,items,Medical,,,[DECEA3]Medical:[ffffff] Herbal Antibiotics,,,,,,,,,,,,,,
drugJailBreakers,items,Medical,,,[DECEA3]Kandy:[ffffff] Jail Breakers,,,,,,,,,,,,,,
foodHoney,items,Food,,,[DECEA3]Medical:[ffffff] Jar of Honey,,,,,,,,,,,,,,
drugNerdTats,items,Medical,,,[DECEA3]Kandy:[ffffff] Nerd Tats,,,,,,,,,,,,,,
drugOhShitzDrops,items,Medical,,,[DECEA3]Kandy:[ffffff] Oh Shitz Drops,,,,,,,,,,,,,,
drugPainkillers,items,Medical,,,[DECEA3]Medical:[ffffff] Painkillers,,,,,,,,,,,,,,
medicalPlasterCast,items,Medical,,,[DECEA3]Medical:[ffffff] Plaster Cast,,,,,,,,,,,,,,
drugRecog,items,Medical,,,[DECEA3]Medical:[ffffff] Recog,,,,,,,,,,,,,,
drugRedPillAdmin,items,Medical,,,[DECEA3]Medical:[ffffff] Red Pill,,,,,,,,,,,,,,
drugRockBusters,items,Medical,,,[DECEA3]Kandy:[ffffff] Rock Busters,,,,,,,,,,,,,,
drugSkullCrushers,items,Medical,,,[DECEA3]Kandy:[ffffff] Skull Crushers,,,,,,,,,,,,,,
medicalSplint,items,Medical,,,[DECEA3]Medical:[ffffff] Splint,,,,,,,,,,,,,,
drugSteroids,items,Medical,,,[DECEA3]Medical:[ffffff] Steroids,,,,,,,,,,,,,,
drugSugarButts,items,Medical,,,[DECEA3]Kandy:[ffffff] Sugar Butts,,,,,,,,,,,,,,
drugVitamins,items,Medical,,,[DECEA3]Medical:[ffffff] Vitamins,,,,,,,,,,,,,,
treePlantedWinterPine1m,blocks,Block,,,[DECEA3]Tree Seed:[ffffff] Blue Spruce,,,,,,,,,,,,,,
treePlantedOak1m,blocks,Block,,,[DECEA3]Tree Seed:[ffffff] Oak,,,,,,,,,,,,,,
treePlantedMountainPine1m,blocks,Block,,,[DECEA3]Tree Seed:[ffffff] Pine,,,,,,,,,,,,,,
meleeMurderAxe,items,Weapon,,,Murder Axe,,,,,,,,,,,,,,
meleeClubBaseballBatParts,items,Melee,,,Parts of [DECEA3]Baseball Bat,,,,,,,,,,Части бейсбольной биты,,,,
gunBowT1WoodenBowParts,items,GunBow,,,Parts of [DECEA3]Bow / Crossbow,,,,,,,,,,Части лука / арбалета,,,,
gunHandgunT1PistolParts,items,GunPistol,,,Parts of [DECEA3]Handgun,,,,,,,,,,Части пистолета,,,,
meleeWpnBladeT3MacheteParts,items,Melee,,,Parts of [DECEA3]Machete,,,,,,,,,,Части мачете,,,,
gunMGT1AK47Parts,items,GunMG,,,Parts of [DECEA3]Machine Gun,,,,,,,,,,Части пулемета,,,,
armorMilitarySetParts,items,Clothes,,,Parts of [DECEA3]Military Armor,,,,,,,,,,Части военной брони,,,,
meleeToolAxeT3ChainsawParts,items,Tool,,,Parts of [DECEA3]Motor Tool,,,,,,,,,,Части бензоинструмента,,,,
gunRifleT1HuntingRifleParts,items,GunRifle,,,Parts of [DECEA3]Rifle,,,,,,,,,,Части винтовки,,,,
gunBotRoboticsParts,items,GunJT,,,Parts of [DECEA3]Robotic Turret,,,,,,,,,,Части мусорной турели,,,,
gunExplosivesT3RocketLauncherParts,items,GunRocket,,,Parts of [DECEA3]Rocket Launcher,,,,,,,,,,Части гранатомета,,,,
meleeToolSalvageParts,items,Tool,,,Parts of [DECEA3]Salvage Tool,,,,,,,,,,,,,,
gunShotgunT1DoubleBarrelParts,items,GunShotgun,,,Parts of [DECEA3]Shotgun,,,,,,,,,,Части дробовика,,,,
armorSteelSetParts,items,Clothes,,,Parts of [DECEA3]Steel Armor,,,,,,,,,,Части стальной брони,,,,
meleeWpnClubT3SteelClubParts,items,Melee,,,Parts of [DECEA3]Steel Club,,,,,,,,,,,,,,
meleeWpnKnucklesT3SteelKnucklesParts,items,Melee,,,Parts of [DECEA3]Steel Knuckles,,,,,,,,,,Части стального кастета,,,,
meleeWpnSledgeT3SteelSledgehammerParts,items,Melee,,,Parts of [DECEA3]Steel Sledgehammer,,,,,,,,,,Части стальной кувалды,,,,
meleeWpnSpearT3SteelSpearParts,items,Melee,,,Parts of [DECEA3]Steel Spear,,,,,,,,,,Части стального копья,,,,
meleeToolAllSteelParts,items,Tool,,,Parts of [DECEA3]Steel Tool,,,,,,,,,,Части стального инструмента,,,,
meleeWpnBatonT2StunBatonParts,items,Melee,,,Parts of [DECEA3]Stun Baton,,,,,,,,,,Части электродубинки,,,,
resourceSteelPolishR,items,Item,,,Steel Polish,,,,,,,,,,,,,,
resourceClayLumpBundleDesc,items,Item,,,This is a compact stack of clay soil. Use this item to open and unpack it.,,,,,,,,,,Это компактно упакованный суглинок. Используйте этот предмет для открытия и распаковки.,,,,
resourceCrushedSandBundledesc,items,Item,,,This is a compact stack of crushed sand. Use this item to open and unpack it.,,,,,,,,,,,,,,
perkMasterToolName,,,,,[DECEA3]MASTER [ffffff] Tool,,,,,,,,,,,,,,
perkMasterToolDesc,,,,,"Unlock the tool that does it all! Repairs, Upgrades, Mines Ores, Cuts Down Trees, Digs, Butchers, and Salvages!",,,,,,,,,,,,,,
perkMasterTool01,,,,,"Miner 69'er Maxed",,,,,,,,,,,,,,
perkMasterTool02,,,,,Mother Lode Maxed,,,,,,,,,,,,,,
perkMasterTool03,,,,,Salvage Operations Maxed,,,,,,,,,,,,,,
perkMasterTool04,,,,,The Huntsman Maxed,,,,,,,,,,,,,,
perkMasterTool05,,,,,Art of Mining Completed,,,,,,,,,,,,,,
perkStrengthMaster01Desc,,,,,"[DECEA3]Master Miner 69'er",,,,,,,,,,,,,,
perkStrengthMaster01LongDesc,,,,,"Unlock tier 5 of Miner 69'er.\n\nThis is the 1st requirement to unlock the [DECEA3]MASTER[ffffff] Tool!",,,,,,,,,,,,,,
perkStrengthMaster02Desc,,,,,[DECEA3]Master Mother Lode,,,,,,,,,,,,,,
perkStrengthMaster02LongDesc,,,,,"Unlock tier 5 of Mother Lode.\n\nThis is the 2nd requirement to unlock the [DECEA3]MASTER[ffffff] Tool!",,,,,,,,,,,,,,
perkStrengthMaster03Desc,,,,,[DECEA3]Master Salvage Operations,,,,,,,,,,,,,,
perkStrengthMaster03LongDesc,,,,,"Unlock tier 5 of Salvage Operations.\n\nThis is the 3rd requirement to unlock the [DECEA3]MASTER[ffffff] Tool!",,,,,,,,,,,,,,
perkStrengthMaster04Desc,,,,,[DECEA3]Master The Huntsman,,,,,,,,,,,,,,
perkStrengthMaster04LongDesc,,,,,"Unlock tier 5 of The Huntsman.\n\nThis is the 4th requirement to unlock the [DECEA3]MASTER[ffffff] Tool!",,,,,,,,,,,,,,
perkStrengthMaster05Desc,,,,,[DECEA3]Read Art of Mining Books,,,,,,,,,,,,,,
perkStrengthMaster05LongDesc,,,,,"Read all of the Art of Mining books.\n\nThis is the FINAL requirement to unlock the [DECEA3]MASTER[ffffff] Tool!.\n\nCraft this ultimate tool and make the world bend to your will!",,,,,,,,,,,,,,
meleeMasterTool,items,Item,,,[DECEA3]MASTER [ffffff]Master Tool,,,,,,,,,,,,,,
meleeMasterTooldesc,items,Item,,,"This advanced tool can do the work of an auger, chainsaw, nailgun, impact driver, and knife combined!",,,,,,,,,,,,,,
perkTurretsRank5LongDesc,progression,perk Int,,,"You are now a top expert in robotics. Reload robot weapons 20% faster. Robot active range is 18 meters.\nTwo deployed robots can be active at once.\n\n[DECEA3]Magazine now holds an additional 250 rounds.",,,,,,,,,,,,,,
perkTurretsRank2LongDesc,progression,perk Int,,,"You are taking your projects to the next level now. Craft fair quality 3 robots, deal 20% more damage, and 60% faster fire rate. Robot active range is 15 meters.\n\n[DECEA3]Magazine now holds an additional 100 rounds.",,,,,,,,,,,,,,
perkTurretsRank3LongDesc,progression,perk Int,,,"You have mastered the basics of automated weaponry. Craft good quality 4 robotics, deal 30% more damage, and 90% faster fire rate. Robot active range is 16 meters.\n\n[DECEA3]Magazine now holds an additional 150 rounds.",,,,,,,,,,,,,,
perkTurretsRank1LongDesc,progression,perk Int,,,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots, deal 10% more damage, and 30% faster fire rate. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting.\n\n[DECEA3]Magazine now holds an additional 50 rounds.",,,,,,,,,,,,,,
perkTurretsRank4LongDesc,progression,perk Int,,,"You must be from the year 2077. You are creating some futuristic technology. Craft great quality 5 robots, deal 40% more damage, and 120% faster fire rate. Reload robot weapons 10% faster. Robot active range is 17 meters.\n\n[DECEA3]Magazine now holds an additional 200 rounds.",,,,,,,,,,,,,,
modGhillieSuitJacket,item_modifiers,mod,,,"[DECEA3]Mod-Armor(helmet)[ffffff] Ghillie Suit Jacket",,,,,,,,,,,,,,
modGhillieSuitPants,item_modifiers,mod,,,"[DECEA3]Mod-Armor(helmet)[ffffff] Ghillie Suit Pants",,,,,,,,,,,,,,
modHPRunningSolesSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Armor [ffffff]HP Running Soles",,,,,,,,,,,,,,
modHPRunningSoles,item_modifiers,mod,,,"[DECEA3]Mod-Armor[ffffff] HP Running Soles",,,,,,,,,,,,,,
modHPRunningSolesDesc,,,,,"You don't have to be the fastest, you just have to not be the slowest.\n\nDecreases stamina loss by 20% while sprinting.",,,,,,,,,,,,,,
modGhillieSuitHood,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Ghillie Suit Hood",,,,,,,,,,,,,,
modHazmatMask,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Hazmat Mask",,,,,,,,,,,,,,
modHazmatGloves,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(hands)[ffffff] Hazmat Gloves",,,,,,,,,,,,,,
modHazmatBoots,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Hazmat Boots",,,,,,,,,,,,,,
modSuitDressShoes,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Dress Shoes",,,,,,,,,,,,,,
modWornBoots,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Worn Boots",,,,,,,,,,,,,,
modRunningShoesRegular,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Running Shoes",,,,,,,,,,,,,,
modCowboyBoots,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Cowboy Boots",,,,,,,,,,,,,,
modGothBoots,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(feet)[ffffff] Goth Boots",,,,,,,,,,,,,,
modCosmeticDesc,item_modifiers,mod,,,"Cosmetic mods! Attach them to their respective slots, and your appearance will change accordingly.\n\nThey DO apply resistance to heat and cold per its normal counterpart (except for bandanas).\n\nThey do NOT apply any other benefits. (i.e. damage reduction when wearing ball cap with perks).",,,,,,,,,,,,,,
modArmorBallCap,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Ball Cap",,,,,,,,,,,,,,
modArmorCowboyHat,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Cowboy Hat",,,,,,,,,,,,,,
modArmorPressboyCap,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Pressboy Cap",,,,,,,,,,,,,,
modArmorSkullCap,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(helmet)[ffffff] Skull Cap",,,,,,,,,,,,,,
modFacialPiercings,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(face)[ffffff] Facial Piercings",,,,,,,,,,,,,,
modCigar,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(face)[ffffff] Cigar",,,,,,,,,,,,,,
modBandana,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(face)[ffffff] Bandana",,,,,,,,,,,,,,
modShades,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(eyes)[ffffff] Shades / Sunglasses",,,,,,,,,,,,,,
modAviatorGoggles,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(eyes)[ffffff] Aviator Goggles",,,,,,,,,,,,,,
modSkiGoggles,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(eyes)[ffffff] Ski Goggles",,,,,,,,,,,,,,
modNerdGlasses,item_modifiers,mod,,,"[DECEA3]Mod-Cosmetic(eyes)[ffffff] Nerdy Glasses",,,,,,,,,,,,,,
ammoGasCanBundle,items,Item,,,"[DECEA3]Gas Can [ffffff]Stack of 30000",,,,,,,,,,,,,,
resourceClayLumpBundle,items,Item,,,"[DECEA3]Clay Soil [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceCoalBundle,items,Item,,,"[DECEA3]Coal [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceCrushedSandBundle,items,Item,,,"[DECEA3]Crushed Sand [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceGunPowderBundle,items,Item,,,"[DECEA3]Gun Powder [ffffff]Stack of 1000",,,,,,,,,,,,,,
resourceLeadBundle,items,Item,,,"[DECEA3]Lead [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceLockPickBundle,items,Item,,,"[DECEA3]Lock Pick [ffffff]Stack of 50",,,,,,,,,,,,,,
resourceOilShaleBundle,items,Item,,,"[DECEA3]Oil Shale [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourcePotassiumNitratePowderBundle,items,Item,,,"[DECEA3]Nitrate Powder [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceRockSmallBundle,items,Item,,,"[DECEA3]Small Stone [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceScrapIronBundle,items,Item,,,"[DECEA3]Iron [ffffff]Stack of 6000",,,,,,,,,,,,,,
resourceWoodBundle,items,Item,,,"[DECEA3]Wood [ffffff]Stack of 6000",,,,,,,,,,,,,,
ammoBundle44MagnumBulletAP,items,Item,,,"[DECEA3].44 Magnum AP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle44MagnumBulletBall,items,Item,,,"[DECEA3].44 Magnum Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle44MagnumBulletHP,items,Item,,,"[DECEA3].44 Magnum HP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle762mmBulletAP,items,Item,,,"[DECEA3]7.62mm AP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle762mmBulletBall,items,Item,,,"[DECEA3]7.62mm Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle762mmBulletHP,items,Item,,,"[DECEA3]7.62mm HP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle9mmBulletAP,items,Item,,,"[DECEA3]9mm AP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundle9mmBulletBall,items,Item,,,"[DECEA3]9mm Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
